courseNumber,courseName,departmentName,credit,hours,campusName,avg_pjf,avg_yxl,avg_aplus,max_aplus,max_yxl,min_yxl,avg_xkrs,avg_jgl,min_jgl,teacherName,teachingPlace
1222200001,专项训练课（4）,师范学院（教育学部）,3.0,108,粤海校区,83.055,5.135,3.0,4.0,7.14,3.13,57.5,100.0,100.0,"薛松,栗云帆,蔡汶霏,唐玉成,侯逸凡,姜咏,邵诗童","1-18周 星期四 第9-10节 南区羽毛球馆,1-18周 星期三 第3-5节 南区羽毛球馆
1-18周 星期三 第3-5节 南区篮球馆,1-18周 星期四 第3-5节 南区篮球馆
1-18周 星期三 第3-5节 高尔夫练习场,1-18周 星期一 第3-5节 高尔夫练习场
1-18周 星期一 第3-5节 海边游泳场,1-18周 星期三 第3-5节 海边游泳场
1-18周 星期一 6-8节 师院B406,1-18周 星期三 3-5节 师院B406
1-18周 星期三 第3-5节 元平馆体操馆,1-18周 星期四 第3-5节 元平馆体操馆
1-18周 星期一 第3-5节 海边网球场,1-18周 星期三 第3-5节 海边网球场"
1222220001,专项训练课（6）,师范学院（教育学部）,2.0,72,粤海校区,82.11,3.64,2.0,2.0,3.64,3.64,49.0,100.0,100.0,"栗云帆,黎佳韵,唐玉成,姜咏,薛松","1-18周 星期三 3-4节 南区篮球馆,1-18周 星期四 3-4节 南区篮球馆
1-18周 星期一 第3-4节 高尔夫练习场,1-18周 星期三 第3-4节 高尔夫练习场
1-18周 星期一 第3-4节 海边游泳场,1-18周 星期三 第3-4节 海边游泳场
1-18周 星期二 第3-4节 元平馆体操馆,1-18周 星期四 第3-4节 元平馆体操馆
1-18周 星期四 第9-10节 南区羽毛球馆,1-18周 星期三 第3-4节 南区羽毛球馆"
1222240001,运动生物力学,师范学院（教育学部）,1.0,36,粤海校区,76.77,0.0,0.0,0.0,0.0,0.0,34.0,100.0,100.0,朱志强,1-18周 星期五 第9-10节 师院A410
1222250001,体育市场与营销,师范学院（教育学部）,1.0,36,粤海校区,74.3,0.0,0.0,0.0,0.0,0.0,92.0,100.0,100.0,"袁俊,袁俊","1-18周 星期二 第1-2节 师院A309
1-18周 星期二 第7-8节 师院A508"
1222270001,民族传统体育概论,师范学院（教育学部）,1.0,36,粤海校区,78.8825,0.0,0.0,0.0,0.0,0.0,39.0,100.0,100.0,赵刚,1-18周 星期三 第9-10节 师院A410
1222280001,副专项教学训练理论与实践（2）,师范学院（教育学部）,1.0,36,粤海校区,82.14,0.0,0.0,0.0,0.0,0.0,35.0,100.0,100.0,"王一欢,王一欢,曹甍,田野,王一欢","1-18周 星期一 第1-2节 小球馆乒乓馆
1-18周 星期一 第3-4节 小球馆乒乓馆
1-18周 星期二 第7-8节 师院体能训练室
1-18周 星期二 第3-4节 小球馆乒乓馆"
1222300001,体育锻炼与心理健康,师范学院（教育学部）,1.0,36,粤海校区,79.745,3.525,1.5,2.0,5.56,1.49,51.0,100.0,100.0,张雪芹,1-18周 星期四 第1-2节 师院A515
1222320001,奥林匹克运动,师范学院（教育学部）,1.0,36,粤海校区,,,,,,,,,,李国惠,1-18周 星期三 第3-4节 师院A308
1222370001,体育专业英语,师范学院（教育学部）,1.0,36,粤海校区,78.88499999999999,4.595,1.5,2.0,6.06,3.13,32.5,100.0,100.0,李国惠,1-18周 星期四 第3-4节 师院A515
1222380001,运动竞赛方法学,师范学院（教育学部）,1.0,36,粤海校区,76.345,7.4,3.0,4.0,9.09,5.71,39.5,100.0,100.0,陈思,1-18周 星期二 第9-10节 师院A408
1222420001,功能性体能训练,师范学院（教育学部）,1.0,36,粤海校区,,,,,,,,,,魏民,1-18周 星期三 1-2节 师院体能训练室
1222440001,体质测量与评价,师范学院（教育学部）,2.0,36,粤海校区,64.47,0.715,0.5,1.0,1.43,0.0,56.5,100.0,100.0,席翼,1-18周 星期一 第1-2节 师院A309
1222500001,对外汉语课堂教学法,师范学院（教育学部）,3.0,54,粤海校区,77.75,2.39,1.5,2.0,3.03,1.75,60.5,100.0,100.0,朱庆洪,1-18周 星期四 第3-5节 师院B411
1222530001,竞技体育教学与训练,师范学院（教育学部）,5.0,90,粤海校区,,,,,,,,,,,
1227590001,心理学,师范学院（教育学部）,2.0,36,粤海校区,74.67500000000001,1.055,1.5,3.0,2.11,0.0,157.0,100.0,100.0,"陈庆飞,陶伍海,李鹏,赵朔,余芬,江荣焕,赵群","1-18周 星期四 第3-4节 致理楼L1-401
1-18周 星期五 第7-8节 致理楼L1-209
1-18周 星期二 第7-8节 汇文楼H3-301
1-18周 星期三 第7-8节 汇文楼H5-201
1-18周 星期五 第7-8节 北404
1-18周 星期一 第7-8节 致理楼L1-206
1-18周 星期三 第3-4节 汇文楼H3-301"
1229640001,人际沟通与礼仪,师范学院（教育学部）,2.0,36,粤海校区,81.66,6.38,3.0,3.0,6.38,6.38,47.0,100.0,100.0,谷雪儿,1-18周 星期一 第7-8节 师院A409
1229680001,休闲体育传播,师范学院（教育学部）,2.0,36,粤海校区,80.4,0.0,0.0,0.0,0.0,0.0,50.0,100.0,100.0,杜鹏,1-18周 星期二 第9-10节 师院A508
1229700001,休闲旅游热点与策划,师范学院（教育学部）,2.0,36,粤海校区,76.69,0.0,0.0,0.0,0.0,0.0,49.0,100.0,100.0,刘杰武,1-18周 星期三 第3-4节 师院A410
1229720001,休闲体育与节事活动,师范学院（教育学部）,2.0,36,粤海校区,78.36,4.26,2.0,2.0,4.26,4.26,47.0,100.0,100.0,杜鹏,1-18周 星期二 第7-8节 师院A509
1229780001,科研方法与论文写作,师范学院（教育学部）,2.0,36,粤海校区,81.92,0.0,0.0,0.0,0.0,0.0,50.0,100.0,100.0,袁俊,1-18周 星期一 第7-8节 师院A307
1229810001,体育网络营销,师范学院（教育学部）,2.0,36,粤海校区,80.34,2.13,1.0,1.0,2.13,2.13,47.0,100.0,100.0,吴中堂,1-18周 星期一 第9-10节 师院A409
1229980001,大学与人生,师范学院（教育学部）,1.0,18,粤海校区,75.8175,30.905,15.25,31.0,54.39,0.0,38.5,100.0,100.0,肖海涛,"5周,8-10周(双) 星期日 第11-12节 师院A508"
1230050001,户外运动专项训练理论与实践（4）,师范学院（教育学部）,2.0,72,粤海校区,83.31,6.12,3.0,3.0,6.12,6.12,49.0,100.0,100.0,"邓万金,田亮,梁园,薛松","1-18周 星期二 第1-2节 海边网球场,1-18周 星期三 第1-2节 海边网球场
1-18周 星期五 第1-2节 南区篮球馆,1-18周 星期五 第7-8节 南区篮球馆
1-18周 星期三 第3-4节 海边游泳场,1-18周 星期四 第9-10节 海边游泳场
1-18周 星期三 第1-2节 南区羽毛球馆,1-18周 星期四 第7-8节 南区羽毛球馆"
1230070001,户外运动专项训练理论与实践（2）,师范学院（教育学部）,2.0,72,粤海校区,80.57,4.35,2.0,2.0,4.35,4.35,46.0,100.0,100.0,"邓万金,薛松,梁园,兰兆林","1-18周 星期一 第1-2节 田径场,1-18周 星期二 第1-2节 田径场
1-18周 星期四 第7-8节 南区羽毛球馆,1-18周 星期三 第1-2节 南区羽毛球馆
1-18周 星期三 第1-2节 海边游泳场,1-18周 星期四 第1-2节 海边游泳场
1-18周 星期五 第1-2节 未排地点,1-18周 星期五 第1-2节 未排地点"
1230090001,大学书法,师范学院（教育学部）,2.0,36,粤海校区,83.12,7.14,3.0,3.0,7.14,7.14,42.0,100.0,100.0,林训涛,1-18周 星期三 第11-12节 师院A202
1230100001,语文课堂教学实践（1）,师范学院（教育学部）,2.0,36,粤海校区,84.03,0.0,0.0,0.0,0.0,0.0,39.0,100.0,100.0,"黄蓉,蔡枫,朱璇","1-18周 星期一 第11-12节 师院A401
1-18周 星期一 第11-12节 师院A402
1-18周 星期一 第11-12节 师院A403"
1230120001,格律诗词写作与鉴赏,师范学院（教育学部）,2.0,36,粤海校区,81.96,0.0,0.0,0.0,0.0,0.0,27.0,100.0,100.0,林训涛,1-18周 星期二 第3-4节 师院A510
2400030001,弗洛伊德《精神分析引论》精读,师范学院（教育学部）,2.0,36,粤海校区,73.322,4.101999999999999,4.8,13.0,9.7,0.0,95.6,100.0,100.0,"张洁婷,邓欣媚,邓欣媚,张洁婷","4-14周(双) 星期三 第11-12节 致理楼L3-102
4-14周(双) 星期三 第11-12节 汇文楼H4-201"
2400180001,老年认知障碍与成功老年,师范学院（教育学部）,2.0,36,粤海校区,81.745,3.66,1.5,3.0,7.32,0.0,33.5,100.0,100.0,"关青,张浩波",1-18周 星期二 第3-4节 致理楼L3-418
2400210001,神经经济学,师范学院（教育学部）,2.0,36,粤海校区,78.15,0.0,0.0,0.0,0.0,0.0,26.0,100.0,100.0,李鹏,1-18周 星期一 第9-10节 致理楼L3-415
2400220001,社会认知专题,师范学院（教育学部）,2.0,36,粤海校区,,,,,,,,,,朱毅,1-18周 星期三 第9-10节 致理楼L2-103
2400270001,性健康教育,师范学院（教育学部）,2.0,36,粤海校区,79.035,0.6975,0.5,1.0,1.54,0.0,57.25,100.0,100.0,迟新丽,1-18周 星期二 第7-8节 致理楼L2-412
2400350001,团体心理治疗,师范学院（教育学部）,2.0,36,粤海校区,81.0,5.0,1.0,1.0,5.0,5.0,20.0,100.0,100.0,"韦君如,卢宁",1-18周 星期三 第7-8节 致理楼L3-301
2400360001,箱庭疗法,师范学院（教育学部）,2.0,36,粤海校区,83.38,6.25,1.0,1.0,6.25,6.25,16.0,100.0,100.0,"刘玎,卢宁",1-18周 星期三 第3-4节 致理楼L3-303
2400490001,跨文化心理学研究,师范学院（教育学部）,2.0,36,粤海校区,,,,,,,,,,朱毅,1-18周 星期三 第11-12节 致理楼L3-415
2400500001,决策心理学,师范学院（教育学部）,2.0,36,粤海校区,80.655,2.13,1.0,2.0,4.26,0.0,45.0,100.0,100.0,蒋多,1-18周 星期四 第7-8节 致理楼L3-516
2400510001,谎言心理学,师范学院（教育学部）,2.0,36,粤海校区,84.455,9.43,5.0,7.0,10.0,8.86,54.5,100.0,100.0,吴嵩,1-18周 星期一 第7-8节 致理楼L2-412
2400530001,职业生涯发展与咨询,师范学院（教育学部）,2.0,36,粤海校区,82.79,7.14,3.0,3.0,7.14,7.14,42.0,100.0,100.0,范家琳,1-18周 星期三 第9-10节 致理楼L3-415
2400550001,论文写作,师范学院（教育学部）,2.0,36,粤海校区,,,,,,,,,,邹立业,1-18周 星期四 第9-10节 致理楼L3-415
2400560001,R软件入门,师范学院（教育学部）,2.0,36,粤海校区,,,,,,,,,,张剑锋,1-18周 星期五 第3-4节 致理楼L3-415
2400620001,认知神经科学研究方法,师范学院（教育学部）,3.0,54,粤海校区,85.2,14.79,3.0,4.0,19.05,10.53,20.0,100.0,100.0,段炼,1-18周 星期四 第11-13节 致理楼L3-415
2400630001,情绪与决策研究进展,师范学院（教育学部）,2.0,36,粤海校区,77.45,0.0,0.0,0.0,0.0,0.0,42.0,100.0,100.0,彭晓哲,1-18周 星期一 第11-12节 致理楼L3-415
2400980001,发展心理学,师范学院（教育学部）,2.0,36,粤海校区,80.78,7.576,24.6,42.0,11.67,2.94,290.2,100.0,100.0,"李晓东,江荣焕,李小青,高秋凤,李晓东,江荣焕,李小青,高秋凤,李小青,李晓东,江荣焕,高秋凤,李小青,李晓东,江荣焕,高秋凤,江荣焕,李晓东,李小青,高秋凤,江荣焕,李晓东,李小青,高秋凤,高秋凤,李小青,李晓东,江荣焕,高秋凤,李小青,李晓东,江荣焕","8周 星期五 第11-12节 致理楼L2-109
12周 星期五 第11-12节 致理楼L2-109
8周 星期五 第11-12节 致理楼L2-106
12周 星期五 第11-12节 致理楼L2-106
8周 星期五 第11-12节 致理楼L2-111
12周 星期五 第11-12节 致理楼L2-111
8周 星期五 第11-12节 西109
12周 星期五 第11-12节 致理楼L3-102"
2401270001,生理心理学,师范学院（教育学部）,3.0,54,粤海校区,77.34,1.02,1.0,1.0,1.02,1.02,93.0,100.0,100.0,"彭微微,YONGDI ZHOU,彭微微,ZOE XIAOWEI DONG","1-18周 星期一 第7-9节 致理楼L2-406
1-18周 星期二 第11-13节 致理楼L3-515"
5601000002,《情绪管理》,师范学院（教育学部）,1.0,18,粤海校区,83.6,3.51,1.5,2.0,3.57,3.45,43.0,100.0,100.0,蔡洁钒,1-9周 星期一 第11-12节 致理楼L1-209
9900670001,积极心理学,师范学院（教育学部）,2.0,36,粤海校区,81.554,1.282,14.2,41.0,3.41,0.1,1030.8,100.0,100.0,"张玮,彭晓哲,李小青,焦璨,蒋冬红,郭田友,郭田友,张玮,彭晓哲,李小青,焦璨,蒋冬红,李小青,张玮,彭晓哲,焦璨,蒋冬红,郭田友,李小青,彭晓哲,张玮,焦璨,蒋冬红,郭田友,焦璨,张玮,彭晓哲,李小青,蒋冬红,郭田友,焦璨,张玮,彭晓哲,李小青,蒋冬红,郭田友,蒋冬红,张玮,彭晓哲,李小青,焦璨,郭田友,蒋冬红,张玮,彭晓哲,李小青,焦璨,郭田友,彭晓哲,张玮,李小青,焦璨,蒋冬红,郭田友,彭晓哲,张玮,李小青,焦璨,蒋冬红,郭田友","13周 星期日 第11-12节 致理楼L2-106
13周 星期日 第11-12节 致理楼L2-109
13周 星期日 第11-12节 致理楼L2-111
14周 星期日 第11-12节 致理楼L2-106
13周 星期日 第11-12节 致理楼L3-102
14周 星期日 第11-12节 致理楼L2-109
13周 星期日 第11-12节 汇文楼H4-101
14周 星期日 第11-12节 致理楼L2-111
13周 星期日 第11-12节 西109
14周 星期日 第11-12节 致理楼L3-102"
1400480001,功能高分子材料,化学与环境工程学院,2.0,36,丽湖校区,74.4,1.35,0.5,1.0,2.7,0.0,45.5,100.0,100.0,吴奕光,1-18周 星期五 第9-10节 北311
1400540001,化工技术经济学,化学与环境工程学院,2.0,36,丽湖校区,80.145,1.43,0.5,1.0,2.86,0.0,27.5,100.0,100.0,吴奕光,1-18周 星期五 第3-4节 北412
1400550001,化工原理,化学与环境工程学院,2.0,36,丽湖校区,73.32,8.06,5.0,5.0,8.06,8.06,59.0,100.0,100.0,刘剑洪,1-18周 星期一 第3-4节 北109
1400560001,化工原理实验,化学与环境工程学院,1.0,36,丽湖校区,78.88333333333334,0.0,0.0,0.0,0.0,0.0,94.0,100.0,100.0,"贵大勇,田雷,杨恒攀,杨梦婷,田雷,贵大勇,邱琦,马睿,马睿","1-17周(单) 星期四 第7-10节 未排地点
1-17周(单) 星期二 第7-10节 未排地点
2-18周(双) 星期二 第7-10节 未排地点
1-17周(单) 星期二 第1-4节 未排地点
2-18周(双) 星期二 第1-4节 未排地点
1-17周(单) 星期一 第7-10节 未排地点
2-18周(双) 星期一 第7-10节 未排地点"
1400900003,精细化工基础,化学与环境工程学院,2.0,36,丽湖校区,80.555,5.47,1.5,2.0,8.0,2.94,29.5,100.0,100.0,田雷,1-18周 星期二 第11-12节 北406
1400920001,精细化工实验,化学与环境工程学院,1.0,36,丽湖校区,81.595,0.0,0.0,0.0,0.0,0.0,30.5,100.0,100.0,"王恒,王恒","5-13周 星期四 第7-10节 未排地点
5-13周 星期四 第11-14节 未排地点"
1401060001,生物化学,化学与环境工程学院,2.0,36,丽湖校区,72.8575,0.1775,0.25,1.0,0.71,0.0,61.0,100.0,100.0,张平玉,1-18周 星期三 第9-10节 北409
1401110001,生物化学实验,化学与环境工程学院,1.0,36,丽湖校区,81.03,0.0,0.0,0.0,0.0,0.0,51.0,100.0,100.0,"刘翼振,王海滔,刘聪慧,刘翼振,王海滔,刘聪慧","5-13周 星期五 第1-4节 未排地点
5-13周 星期五 第7-10节 未排地点"
1401230001,食品化学,化学与环境工程学院,2.0,36,丽湖校区,77.765,0.0,0.0,0.0,0.0,0.0,36.5,100.0,100.0,易江,1-18周 星期一 第3-4节 北412
1401370001,世界珍奇动植物,化学与环境工程学院,2.0,36,丽湖校区,,,,,,,,,,何庆华,1-18周 星期四 第13-14节 北408
1401540002,无机化学（2）,化学与环境工程学院,3.0,54,丽湖校区,72.7,2.515,3.5,4.0,3.48,1.55,150.0,100.0,100.0,"孙灵娜,高春梅","1-18周 星期五 第3-5节 北408
1-18周 星期一 第3-5节 北417"
1401660001,物理化学（2）,化学与环境工程学院,3.0,54,丽湖校区,76.75999999999999,4.105,4.0,6.0,6.19,2.02,95.0,100.0,100.0,"余振强,蔡弘华,辛红","1-18周 星期二 第3-5节 北211
1-18周 星期五 第3-5节 北404
1-18周 星期三 第3-5节 北405"
1401730001,物理化学实验（2）,化学与环境工程学院,1.5,54,丽湖校区,82.115,0.0,0.0,0.0,0.0,0.0,93.0,100.0,100.0,"赵辰阳,辛红,何晋华,蔡弘华,蔡弘华","3-15周 星期五 第7-10节 未排地点
3-15周 星期四 第1-4节 未排地点
3-15周 星期四 第7-10节 未排地点
3-15周 星期四 第1-4节 未排地点
3-15周 星期四 第7-10节 未排地点"
1401920002,仪器分析,化学与环境工程学院,3.0,54,丽湖校区,75.0325,1.8675,1.25,2.0,2.9,0.0,66.25,100.0,100.0,"刘翼振,王芳","1-18周 星期四 第3-5节 北405
1-18周 星期一 第3-5节 北211"
1401950001,仪器分析实验,化学与环境工程学院,1.5,54,丽湖校区,81.9025,0.0,0.0,0.0,0.0,0.0,58.5,100.0,100.0,"刘聪慧,王芳,魏波","3-15周 星期四 第7-10节 未排地点
3-15周 星期二 第1-4节 未排地点
3-15周 星期一 第7-10节 未排地点"
1401980002,有机化学,化学与环境工程学院,3.0,54,丽湖校区,69.53,1.978,2.2,6.0,3.24,0.0,87.8,100.0,100.0,"胡惠媛,倪卓,袁秋华,倪卓","1-18周 星期二 第3-5节 北412
1-18周 星期一 第11-13节 北209
1-18周 星期二 第3-5节 北414
1-18周 星期二 第7-9节 北412"
1401980003,卫生化学实验,化学与环境工程学院,0.5,18,丽湖校区,82.62,0.0,0.0,0.0,0.0,0.0,29.0,100.0,100.0,"於秀君,於秀君","3-11周(单) 星期二 第7-10节 未排地点
4-12周(双) 星期二 第7-10节 未排地点"
1401980006,环保设备基础,化学与环境工程学院,2.0,36,丽湖校区,84.67,2.56,1.0,1.0,2.56,2.56,39.0,100.0,100.0,杨梦婷,1-18周 星期二 第1-2节 北415
1401980007,固体废弃物处理与处置实验,化学与环境工程学院,1.0,36,丽湖校区,81.55,0.0,0.0,0.0,0.0,0.0,40.0,100.0,100.0,"何宏平,何宏平","5-13周 星期四 第1-4节 未排地点
5-13周 星期四 第7-10节 未排地点"
1401980008,大气污染控制实验,化学与环境工程学院,1.5,54,丽湖校区,85.3,0.0,0.0,0.0,0.0,0.0,40.0,100.0,100.0,"郑轩,郑轩","3-15周 星期四 第1-4节 未排地点
3-15周 星期四 第7-10节 未排地点"
1401980011,环境工程原理,化学与环境工程学院,3.0,54,丽湖校区,70.57,0.0,0.0,0.0,0.0,0.0,41.0,100.0,100.0,刘长坤,1-18周 星期一 第3-5节 北415
1401980012,工程管理,化学与环境工程学院,2.0,36,丽湖校区,77.1,0.0,0.0,0.0,0.0,0.0,40.0,100.0,100.0,刘安,1-18周 星期三 第1-2节 北404
1401980013,水污染控制实验,化学与环境工程学院,1.5,54,丽湖校区,81.41,0.0,0.0,0.0,0.0,0.0,39.0,100.0,100.0,"韩京成,刘唐,刘唐,韩京成","3-15周 星期一 第7-10节 未排地点
3-15周 星期二 第7-10节 未排地点"
1401980015,环境法学与经济学,化学与环境工程学院,2.0,36,丽湖校区,82.29,2.44,1.0,1.0,2.44,2.44,41.0,100.0,100.0,"刘唐,毛艳萍",1-18周 星期一 第3-4节 北405
1401980018,工程力学,化学与环境工程学院,2.0,36,丽湖校区,75.63,0.0,0.0,0.0,0.0,0.0,40.0,100.0,100.0,杨波,1-18周 星期三 第3-4节 北411
1401980020,食品感官鉴评,化学与环境工程学院,1.0,18,丽湖校区,83.96,8.33,2.0,2.0,8.33,8.33,24.0,100.0,100.0,赵丽青,1-9周 星期四 第3-4节 北404
1401980022,食品感官鉴评实验,化学与环境工程学院,0.5,18,丽湖校区,81.76,0.0,0.0,0.0,0.0,0.0,21.0,100.0,100.0,"赵丽青,赵丽青","10-16周(双) 星期四 第1-4节 未排地点
11-17周(单) 星期四 第1-4节 未排地点"
1401980060,先进高分子进展,化学与环境工程学院,2.0,36,丽湖校区,,,,,,,,,,"徐坚,朱才镇",1-18周 星期二 第7-8节 北405
1401980061,发酵食品,化学与环境工程学院,2.5,54,丽湖校区,,,,,,,,,,"文震,赵丽青,赵丽青","1-18周 星期一 第1-2节 北406
5-11周(单) 星期一 第7-10节 未排地点
6-12周(双) 星期一 第7-10节 未排地点"
1401980062,食品添加剂与应用,化学与环境工程学院,2.0,36,丽湖校区,,,,,,,,,,石春芝,1-18周 星期三 第13-14节 北209
1401980063,食品大数据分析与应用,化学与环境工程学院,1.5,36,丽湖校区,,,,,,,,,,范方辉,"1-9周 星期五 第3-4节 北417,10-18周 星期五 第3-4节 北106"
1402010001,有机化学（2）,化学与环境工程学院,3.0,54,丽湖校区,65.34,1.31,1.5,2.0,1.79,0.83,103.5,100.0,100.0,"朱虹,张俊民,陈国强","1-18周 星期一 第3-5节 北406
1-18周 星期三 第3-5节 北412
1-18周 星期一 第3-5节 北403"
1402030001,有机化学实验,化学与环境工程学院,1.0,36,丽湖校区,81.065,0.0,0.0,0.0,0.0,0.0,149.0,100.0,100.0,"张雷,卓海涛,张雪利,袁秋华,卓海涛,王海滔","4-12周 星期二 第7-10节 未排地点
4-12周 星期二 第7-10节 未排地点
4-12周 星期二 第7-10节 未排地点
4-12周 星期四 第7-10节 未排地点
4-12周 星期四 第7-10节 未排地点
4-12周 星期四 第7-10节 未排地点"
